codigo_cie,nombre,categoria,palabras_clave,sintomas
D0019,Estenosis aórtica,Enfermedades cardiovasculares,"['ansiedad', 'problema digestivo', 'depresión', 'ictus', 'eczema', 'artritis']","['fiebre', 'hinchazón', 'fatiga', 'dolor de cabeza', 'pérdida de peso', 'diarrea']"
D0020,Insuficiencia mitral,Enfermedades cardiovasculares,"['diabetes', 'colesterol', 'asma', 'alergia', 'artritis', 'azúcar en sangre']","['dolor de cabeza', 'confusión', 'dolor abdominal', 'pérdida de memoria', 'mareos', 'dolor torácico']"
D0021,Diabetes mellitus tipo 1,Enfermedades endocrinas,"['inflamación', 'problema digestivo', 'artritis', 'dolor', 'alergia', 'epilepsia']","['pérdida de memoria', 'pérdida de peso', 'tos', 'mareos', 'fatiga', 'problemas para dormir']"
D0022,Diabetes mellitus tipo 2,Enfermedades endocrinas,"['colesterol', 'infección', 'presión alta', 'azúcar en sangre', 'problema digestivo', 'problema cardíaco']","['hinchazón', 'pérdida de apetito', 'dolor torácico', 'pérdida de memoria', 'problemas para dormir', 'fatiga']"
D0023,Diabetes gestacional,Enfermedades endocrinas,"['artritis', 'problema cardíaco', 'eczema', 'diabetes', 'alergia', 'dolor']","['dolor torácico', 'pérdida de memoria', 'pérdida de peso', 'fatiga', 'pérdida de apetito', 'fiebre']"
D0024,Hipotiroidismo congénito,Enfermedades endocrinas,"['ataque al corazón', 'diabetes', 'inflamación', 'epilepsia', 'eczema', 'ansiedad']","['diarrea', 'náuseas', 'problemas para dormir', 'pérdida de peso', 'dificultad para respirar', 'fiebre']"
D0025,Hipotiroidismo autoinmune,Enfermedades endocrinas,"['artritis', 'alergia', 'cáncer', 'inflamación', 'ictus', 'infección']","['mareos', 'fatiga', 'dolor abdominal', 'pérdida de peso', 'tos', 'dificultad para respirar']"
D0026,Hipertiroidismo por enfermedad de Graves,Enfermedades endocrinas,"['cáncer', 'infección', 'dolor', 'presión alta', 'ictus', 'epilepsia']","['pérdida de apetito', 'dolor torácico', 'confusión', 'dolor de cabeza', 'sangrado', 'vómitos']"
D0027,Síndrome de Cushing,Enfermedades endocrinas,"['asma', 'ansiedad', 'problema digestivo', 'ictus', 'ataque al corazón', 'inflamación']","['dificultad para respirar', 'fiebre', 'sangrado', 'pérdida de apetito', 'mareos', 'pérdida de peso']"
D0028,Enfermedad de Addison,Enfermedades endocrinas,"['depresión', 'problema digestivo', 'problema cardíaco', 'hipotiroidismo', 'colesterol', 'inflamación']","['tos', 'pérdida de apetito', 'mareos', 'náuseas', 'pérdida de peso', 'fiebre']"
D0029,Acromegalia,Enfermedades endocrinas,"['inflamación', 'ictus', 'colesterol', 'dolor', 'ansiedad', 'diabetes']","['dolor abdominal', 'tos', 'náuseas', 'pérdida de peso', 'fiebre', 'problemas para dormir']"
D0030,Hiperparatiroidismo primario,Enfermedades endocrinas,"['infección', 'alergia', 'epilepsia', 'hipotiroidismo', 'asma', 'ataque al corazón']","['náuseas', 'problemas para dormir', 'dolor torácico', 'hinchazón', 'pérdida de peso', 'pérdida de apetito']"
D0031,Resistencia a la insulina,Enfermedades endocrinas,"['presión alta', 'diabetes', 'problema digestivo', 'ansiedad', 'alergia', 'ictus']","['hinchazón', 'náuseas', 'tos', 'dolor abdominal', 'vómitos', 'confusión']"
D0032,Síndrome metabólico,Enfermedades endocrinas,"['infección', 'inflamación', 'problema cardíaco', 'artritis', 'eczema', 'cáncer']","['visión borrosa', 'mareos', 'diarrea', 'náuseas', 'dolor abdominal', 'vómitos']"
D0033,Hiperlipidemia familiar,Enfermedades endocrinas,"['hipotiroidismo', 'alergia', 'problema digestivo', 'diabetes', 'presión alta', 'cáncer']","['tos', 'vómitos', 'dolor de cabeza', 'dificultad para respirar', 'dolor abdominal', 'pérdida de peso']"
D0034,Hipercolesterolemia,Enfermedades endocrinas,"['ataque al corazón', 'ictus', 'infección', 'dolor', 'presión alta', 'eczema']","['hinchazón', 'diarrea', 'sangrado', 'dolor de cabeza', 'confusión', 'pérdida de peso']"
D0035,Hipoglucemia funcional,Enfermedades endocrinas,"['depresión', 'hipotiroidismo', 'problema cardíaco', 'ictus', 'colesterol', 'inflamación']","['vómitos', 'fatiga', 'dolor abdominal', 'pérdida de apetito', 'tos', 'confusión']"
D0036,Diabetes mellitus tipo 1,Enfermedades endocrinas,"['asma', 'epilepsia', 'hipotiroidismo', 'azúcar en sangre', 'ictus', 'cáncer']","['dolor de cabeza', 'problemas para dormir', 'dolor abdominal', 'vómitos', 'dificultad para respirar', 'mareos']"
D0037,Diabetes mellitus tipo 2,Enfermedades endocrinas,"['ansiedad', 'cáncer', 'depresión', 'dolor', 'diabetes', 'problema cardíaco']","['confusión', 'diarrea', 'dolor de cabeza', 'fiebre', 'mareos', 'problemas para dormir']"
D0038,Diabetes gestacional,Enfermedades endocrinas,"['azúcar en sangre', 'depresión', 'ictus', 'inflamación', 'artritis', 'diabetes']","['visión borrosa', 'pérdida de apetito', 'problemas para dormir', 'dolor torácico', 'tos', 'sangrado']"
D0039,Hipotiroidismo congénito,Enfermedades endocrinas,"['artritis', 'cáncer', 'asma', 'colesterol', 'azúcar en sangre', 'hipotiroidismo']","['dificultad para respirar', 'confusión', 'sangrado', 'problemas para dormir', 'pérdida de apetito', 'visión borrosa']"
D0040,Hipotiroidismo autoinmune,Enfermedades endocrinas,"['hipotiroidismo', 'presión alta', 'depresión', 'infección', 'colesterol', 'problema digestivo']","['vómitos', 'dificultad para respirar', 'tos', 'fiebre', 'confusión', 'diarrea']"
D0041,Hipertiroidismo por enfermedad de Graves,Enfermedades endocrinas,"['problema digestivo', 'infección', 'diabetes', 'presión alta', 'inflamación', 'azúcar en sangre']","['vómitos', 'dificultad para respirar', 'visión borrosa', 'tos', 'dolor abdominal', 'problemas para dormir']"
D0042,Síndrome de Cushing,Enfermedades endocrinas,"['hipotiroidismo', 'cáncer', 'infección', 'ataque al corazón', 'azúcar en sangre', 'problema cardíaco']","['pérdida de memoria', 'tos', 'fiebre', 'dolor de cabeza', 'pérdida de peso', 'problemas para dormir']"
D0043,Enfermedad de Addison,Enfermedades endocrinas,"['dolor', 'presión alta', 'hipotiroidismo', 'ictus', 'eczema', 'colesterol']","['pérdida de memoria', 'problemas para dormir', 'dolor torácico', 'sangrado', 'náuseas', 'dolor de cabeza']"
D0044,Acromegalia,Enfermedades endocrinas,"['colesterol', 'depresión', 'dolor', 'ansiedad', 'eczema', 'presión alta']","['confusión', 'dificultad para respirar', 'dolor torácico', 'náuseas', 'problemas para dormir', 'pérdida de apetito']"
D0045,Hiperparatiroidismo primario,Enfermedades endocrinas,"['problema digestivo', 'eczema', 'presión alta', 'artritis', 'azúcar en sangre', 'ictus']","['fiebre', 'vómitos', 'dolor de cabeza', 'fatiga', 'mareos', 'pérdida de peso']"
D0046,Resistencia a la insulina,Enfermedades endocrinas,"['cáncer', 'asma', 'diabetes', 'hipotiroidismo', 'ansiedad', 'problema digestivo']","['vómitos', 'dolor torácico', 'visión borrosa', 'pérdida de peso', 'dolor abdominal', 'mareos']"
D0047,Síndrome metabólico,Enfermedades endocrinas,"['hipotiroidismo', 'epilepsia', 'inflamación', 'infección', 'asma', 'presión alta']","['vómitos', 'sangrado', 'dolor abdominal', 'diarrea', 'dolor torácico', 'pérdida de apetito']"
D0048,Hiperlipidemia familiar,Enfermedades endocrinas,"['presión alta', 'azúcar en sangre', 'depresión', 'artritis', 'colesterol', 'hipotiroidismo']","['diarrea', 'dolor abdominal', 'náuseas', 'sangrado', 'confusión', 'vómitos']"
D0049,Hipercolesterolemia,Enfermedades endocrinas,"['azúcar en sangre', 'dolor', 'ansiedad', 'asma', 'problema digestivo', 'epilepsia']","['diarrea', 'dolor torácico', 'hinchazón', 'visión borrosa', 'sangrado', 'pérdida de apetito']"
D0050,Hipoglucemia funcional,Enfermedades endocrinas,"['problema digestivo', 'asma', 'problema cardíaco', 'dolor', 'depresión', 'diabetes']","['hinchazón', 'diarrea', 'tos', 'fiebre', 'visión borrosa', 'pérdida de apetito']"
D0051,Diabetes mellitus tipo 1,Enfermedades endocrinas,"['hipotiroidismo', 'asma', 'depresión', 'dolor', 'epilepsia', 'artritis']","['dolor torácico', 'dificultad para respirar', 'fiebre', 'vómitos', 'confusión', 'fatiga']"
D0052,Diabetes mellitus tipo 2,Enfermedades endocrinas,"['ictus', 'infección', 'artritis', 'problema digestivo', 'colesterol', 'diabetes']","['dolor torácico', 'dolor de cabeza', 'visión borrosa', 'confusión', 'sangrado', 'problemas para dormir']"
D0053,Diabetes gestacional,Enfermedades endocrinas,"['artritis', 'dolor', 'infección', 'eczema', 'diabetes', 'ictus']","['pérdida de memoria', 'dificultad para respirar', 'fatiga', 'dolor torácico', 'vómitos', 'visión borrosa']"
D0054,Hipotiroidismo congénito,Enfermedades endocrinas,"['ansiedad', 'alergia', 'diabetes', 'problema cardíaco', 'hipotiroidismo', 'infección']","['dolor torácico', 'vómitos', 'tos', 'diarrea', 'fatiga', 'sangrado']"
D0055,Hipotiroidismo autoinmune,Enfermedades endocrinas,"['epilepsia', 'hipotiroidismo', 'presión alta', 'eczema', 'asma', 'cáncer']","['dificultad para respirar', 'fiebre', 'visión borrosa', 'pérdida de memoria', 'sangrado', 'hinchazón']"
D0056,Hipertiroidismo por enfermedad de Graves,Enfermedades endocrinas,"['azúcar en sangre', 'presión alta', 'depresión', 'asma', 'eczema', 'alergia']","['tos', 'hinchazón', 'visión borrosa', 'sangrado', 'fiebre', 'mareos']"
D0057,Síndrome de Cushing,Enfermedades endocrinas,"['problema cardíaco', 'problema digestivo', 'depresión', 'dolor', 'epilepsia', 'colesterol']","['fiebre', 'sangrado', 'pérdida de apetito', 'dolor torácico', 'fatiga', 'diarrea']"
D0058,Enfermedad de Addison,Enfermedades endocrinas,"['alergia', 'colesterol', 'asma', 'infección', 'azúcar en sangre', 'ataque al corazón']","['sangrado', 'tos', 'pérdida de peso', 'fatiga', 'dificultad para respirar', 'dolor abdominal']"
D0059,Acromegalia,Enfermedades endocrinas,"['alergia', 'ansiedad', 'asma', 'epilepsia', 'cáncer', 'diabetes']","['pérdida de memoria', 'sangrado', 'pérdida de peso', 'problemas para dormir', 'fiebre', 'hinchazón']"
D0060,Hiperparatiroidismo primario,Enfermedades endocrinas,"['infección', 'ictus', 'diabetes', 'artritis', 'eczema', 'azúcar en sangre']","['pérdida de apetito', 'visión borrosa', 'tos', 'confusión', 'sangrado', 'fatiga']"
D0061,Resistencia a la insulina,Enfermedades endocrinas,"['hipotiroidismo', 'colesterol', 'eczema', 'ansiedad', 'infección', 'problema digestivo']","['dolor torácico', 'fiebre', 'fatiga', 'tos', 'vómitos', 'problemas para dormir']"
D0062,Síndrome metabólico,Enfermedades endocrinas,"['depresión', 'problema cardíaco', 'ansiedad', 'inflamación', 'epilepsia', 'hipotiroidismo']","['vómitos', 'fatiga', 'dolor de cabeza', 'pérdida de memoria', 'fiebre', 'dolor torácico']"
D0063,Hiperlipidemia familiar,Enfermedades endocrinas,"['colesterol', 'diabetes', 'ataque al corazón', 'alergia', 'dolor', 'problema cardíaco']","['mareos', 'tos', 'dificultad para respirar', 'dolor torácico', 'hinchazón', 'fiebre']"
D0064,Hipercolesterolemia,Enfermedades endocrinas,"['depresión', 'ansiedad', 'alergia', 'eczema', 'problema cardíaco', 'hipotiroidismo']","['diarrea', 'sangrado', 'dificultad para respirar', 'pérdida de memoria', 'náuseas', 'visión borrosa']"
D0065,Hipoglucemia funcional,Enfermedades endocrinas,"['hipotiroidismo', 'ictus', 'problema cardíaco', 'ataque al corazón', 'alergia', 'asma']","['dolor torácico', 'visión borrosa', 'mareos', 'diarrea', 'confusión', 'pérdida de memoria']"
D0066,Diabetes mellitus tipo 1,Enfermedades endocrinas,"['ataque al corazón', 'problema digestivo', 'infección', 'inflamación', 'dolor', 'presión alta']","['confusión', 'dolor torácico', 'pérdida de memoria', 'visión borrosa', 'sangrado', 'fiebre']"
D0067,Diabetes mellitus tipo 2,Enfermedades endocrinas,"['azúcar en sangre', 'ataque al corazón', 'dolor', 'depresión', 'problema cardíaco', 'colesterol']","['fatiga', 'pérdida de apetito', 'confusión', 'dificultad para respirar', 'dolor de cabeza', 'diarrea']"
D0068,Diabetes gestacional,Enfermedades endocrinas,"['artritis', 'colesterol', 'dolor', 'infección', 'azúcar en sangre', 'hipotiroidismo']","['dolor abdominal', 'pérdida de apetito', 'mareos', 'fiebre', 'pérdida de peso', 'náuseas']"
D0069,Hipotiroidismo congénito,Enfermedades endocrinas,"['ictus', 'problema cardíaco', 'cáncer', 'colesterol', 'alergia', 'artritis']","['fiebre', 'dolor abdominal', 'pérdida de apetito', 'mareos', 'dolor de cabeza', 'fatiga']"
D0070,Hipotiroidismo autoinmune,Enfermedades endocrinas,"['azúcar en sangre', 'depresión', 'ansiedad', 'dolor', 'colesterol', 'ataque al corazón']","['sangrado', 'fiebre', 'pérdida de memoria', 'dolor abdominal', 'tos', 'vómitos']"
D0071,Asma alérgica,Enfermedades respiratorias,"['problema cardíaco', 'azúcar en sangre', 'hipotiroidismo', 'ansiedad', 'depresión', 'asma']","['sangrado', 'hinchazón', 'dolor torácico', 'fatiga', 'dificultad para respirar', 'diarrea']"
D0072,Asma inducida por ejercicio,Enfermedades respiratorias,"['inflamación', 'hipotiroidismo', 'ictus', 'azúcar en sangre', 'colesterol', 'presión alta']","['dificultad para respirar', 'dolor torácico', 'problemas para dormir', 'diarrea', 'vómitos', 'visión borrosa']"
D0073,EPOC tipo enfisema,Enfermedades respiratorias,"['epilepsia', 'ataque al corazón', 'asma', 'hipotiroidismo', 'ictus', 'problema cardíaco']","['visión borrosa', 'dolor torácico', 'sangrado', 'vómitos', 'dificultad para respirar', 'náuseas']"
D0074,EPOC tipo bronquitis crónica,Enfermedades respiratorias,"['colesterol', 'diabetes', 'presión alta', 'dolor', 'eczema', 'azúcar en sangre']","['fatiga', 'vómitos', 'tos', 'sangrado', 'hinchazón', 'visión borrosa']"
D0075,Neumonía bacteriana,Enfermedades respiratorias,"['cáncer', 'colesterol', 'dolor', 'artritis', 'diabetes', 'depresión']","['fiebre', 'pérdida de memoria', 'visión borrosa', 'pérdida de peso', 'dolor abdominal', 'dolor torácico']"
D0076,Neumonía viral,Enfermedades respiratorias,"['diabetes', 'problema cardíaco', 'hipotiroidismo', 'artritis', 'asma', 'inflamación']","['náuseas', 'tos', 'sangrado', 'hinchazón', 'mareos', 'pérdida de apetito']"
D0077,Faringitis estreptocócica,Enfermedades respiratorias,"['ictus', 'artritis', 'dolor', 'eczema', 'azúcar en sangre', 'cáncer']","['náuseas', 'diarrea', 'confusión', 'dolor abdominal', 'tos', 'dificultad para respirar']"
D0078,Amigdalitis aguda,Enfermedades respiratorias,"['azúcar en sangre', 'eczema', 'ansiedad', 'artritis', 'hipotiroidismo', 'depresión']","['dificultad para respirar', 'hinchazón', 'sangrado', 'náuseas', 'tos', 'dolor de cabeza']"
D0079,Laringotraqueobronquitis,Enfermedades respiratorias,"['colesterol', 'artritis', 'presión alta', 'ictus', 'depresión', 'ansiedad']","['dificultad para respirar', 'visión borrosa', 'pérdida de apetito', 'náuseas', 'fatiga', 'fiebre']"
D0080,Tuberculosis pulmonar,Enfermedades respiratorias,"['dolor', 'problema digestivo', 'artritis', 'colesterol', 'hipotiroidismo', 'presión alta']","['visión borrosa', 'pérdida de memoria', 'dificultad para respirar', 'hinchazón', 'problemas para dormir', 'fiebre']"
D0081,Fibrosis pulmonar idiopática,Enfermedades respiratorias,"['inflamación', 'ictus', 'infección', 'asma', 'colesterol', 'artritis']","['sangrado', 'diarrea', 'dolor de cabeza', 'mareos', 'problemas para dormir', 'tos']"
D0082,Embolia pulmonar,Enfermedades respiratorias,"['inflamación', 'hipotiroidismo', 'diabetes', 'infección', 'artritis', 'problema digestivo']","['confusión', 'vómitos', 'pérdida de peso', 'náuseas', 'dolor abdominal', 'problemas para dormir']"
D0083,Bronquiectasias,Enfermedades respiratorias,"['eczema', 'alergia', 'diabetes', 'problema cardíaco', 'ansiedad', 'presión alta']","['visión borrosa', 'confusión', 'dolor de cabeza', 'pérdida de memoria', 'diarrea', 'dolor torácico']"
D0084,Rinitis alérgica persistente,Enfermedades respiratorias,"['depresión', 'cáncer', 'diabetes', 'presión alta', 'asma', 'ansiedad']","['tos', 'fatiga', 'hinchazón', 'visión borrosa', 'vómitos', 'pérdida de memoria']"
D0085,Apnea del sueño,Enfermedades respiratorias,"['depresión', 'eczema', 'diabetes', 'alergia', 'presión alta', 'problema digestivo']","['pérdida de apetito', 'diarrea', 'dolor abdominal', 'dolor torácico', 'náuseas', 'dificultad para respirar']"
D0086,Asma alérgica,Enfermedades respiratorias,"['ansiedad', 'ictus', 'problema cardíaco', 'colesterol', 'artritis', 'ataque al corazón']","['vómitos', 'pérdida de apetito', 'mareos', 'diarrea', 'náuseas', 'fatiga']"
D0087,Asma inducida por ejercicio,Enfermedades respiratorias,"['eczema', 'hipotiroidismo', 'colesterol', 'artritis', 'alergia', 'inflamación']","['pérdida de apetito', 'dolor torácico', 'fatiga', 'mareos', 'pérdida de memoria', 'hinchazón']"
D0088,EPOC tipo enfisema,Enfermedades respiratorias,"['colesterol', 'depresión', 'diabetes', 'infección', 'epilepsia', 'artritis']","['tos', 'dolor de cabeza', 'fiebre', 'hinchazón', 'dolor abdominal', 'visión borrosa']"
D0089,EPOC tipo bronquitis crónica,Enfermedades respiratorias,"['depresión', 'eczema', 'inflamación', 'problema digestivo', 'ataque al corazón', 'ansiedad']","['pérdida de memoria', 'dolor torácico', 'fiebre', 'dificultad para respirar', 'problemas para dormir', 'fatiga']"
D0090,Neumonía bacteriana,Enfermedades respiratorias,"['ansiedad', 'colesterol', 'infección', 'depresión', 'epilepsia', 'inflamación']","['diarrea', 'pérdida de peso', 'náuseas', 'tos', 'vómitos', 'dolor abdominal']"
D0091,Neumonía viral,Enfermedades respiratorias,"['epilepsia', 'azúcar en sangre', 'alergia', 'ansiedad', 'ataque al corazón', 'artritis']","['dolor de cabeza', 'vómitos', 'náuseas', 'sangrado', 'dificultad para respirar', 'diarrea']"
D0092,Faringitis estreptocócica,Enfermedades respiratorias,"['diabetes', 'colesterol', 'ansiedad', 'cáncer', 'problema digestivo', 'inflamación']","['dolor de cabeza', 'náuseas', 'sangrado', 'pérdida de memoria', 'dolor abdominal', 'visión borrosa']"
D0093,Amigdalitis aguda,Enfermedades respiratorias,"['problema cardíaco', 'hipotiroidismo', 'cáncer', 'ataque al corazón', 'infección', 'presión alta']","['sangrado', 'vómitos', 'mareos', 'hinchazón', 'dolor abdominal', 'dolor torácico']"
D0094,Laringotraqueobronquitis,Enfermedades respiratorias,"['inflamación', 'ictus', 'artritis', 'presión alta', 'colesterol', 'depresión']","['vómitos', 'pérdida de memoria', 'diarrea', 'tos', 'mareos', 'pérdida de apetito']"
D0095,Tuberculosis pulmonar,Enfermedades respiratorias,"['inflamación', 'presión alta', 'epilepsia', 'azúcar en sangre', 'problema cardíaco', 'infección']","['visión borrosa', 'vómitos', 'diarrea', 'tos', 'pérdida de peso', 'confusión']"
D0096,Fibrosis pulmonar idiopática,Enfermedades respiratorias,"['eczema', 'azúcar en sangre', 'presión alta', 'asma', 'cáncer', 'diabetes']","['náuseas', 'fiebre', 'tos', 'pérdida de apetito', 'dolor torácico', 'mareos']"
D0097,Embolia pulmonar,Enfermedades respiratorias,"['cáncer', 'infección', 'eczema', 'azúcar en sangre', 'problema digestivo', 'epilepsia']","['sangrado', 'pérdida de memoria', 'dolor de cabeza', 'tos', 'hinchazón', 'vómitos']"
D0098,Bronquiectasias,Enfermedades respiratorias,"['asma', 'ansiedad', 'alergia', 'epilepsia', 'azúcar en sangre', 'inflamación']","['confusión', 'vómitos', 'pérdida de memoria', 'fiebre', 'dolor de cabeza', 'hinchazón']"
D0099,Rinitis alérgica persistente,Enfermedades respiratorias,"['presión alta', 'problema cardíaco', 'infección', 'azúcar en sangre', 'ictus', 'cáncer']","['hinchazón', 'tos', 'vómitos', 'confusión', 'pérdida de peso', 'sangrado']"
D0100,Apnea del sueño,Enfermedades respiratorias,"['artritis', 'azúcar en sangre', 'problema digestivo', 'ictus', 'problema cardíaco', 'colesterol']","['pérdida de memoria', 'pérdida de peso', 'dificultad para respirar', 'pérdida de apetito', 'confusión', 'hinchazón']"
D0101,Asma alérgica,Enfermedades respiratorias,"['diabetes', 'infección', 'ictus', 'epilepsia', 'cáncer', 'eczema']","['sangrado', 'visión borrosa', 'pérdida de memoria', 'dolor de cabeza', 'dificultad para respirar', 'dolor abdominal']"
D0102,Asma inducida por ejercicio,Enfermedades respiratorias,"['infección', 'problema cardíaco', 'colesterol', 'cáncer', 'asma', 'azúcar en sangre']","['vómitos', 'dolor abdominal', 'mareos', 'dolor de cabeza', 'fatiga', 'fiebre']"
D0103,EPOC tipo enfisema,Enfermedades respiratorias,"['epilepsia', 'ictus', 'depresión', 'alergia', 'cáncer', 'artritis']","['náuseas', 'confusión', 'mareos', 'pérdida de apetito', 'vómitos', 'fiebre']"
D0104,EPOC tipo bronquitis crónica,Enfermedades respiratorias,"['problema cardíaco', 'problema digestivo', 'cáncer', 'hipotiroidismo', 'ansiedad', 'colesterol']","['pérdida de peso', 'dolor abdominal', 'visión borrosa', 'vómitos', 'mareos', 'confusión']"
D0105,Neumonía bacteriana,Enfermedades respiratorias,"['presión alta', 'ictus', 'alergia', 'hipotiroidismo', 'inflamación', 'ansiedad']","['diarrea', 'dolor de cabeza', 'pérdida de apetito', 'hinchazón', 'mareos', 'problemas para dormir']"
D0106,Neumonía viral,Enfermedades respiratorias,"['ataque al corazón', 'alergia', 'presión alta', 'epilepsia', 'dolor', 'problema digestivo']","['confusión', 'dificultad para respirar', 'fatiga', 'vómitos', 'problemas para dormir', 'dolor torácico']"
D0107,Faringitis estreptocócica,Enfermedades respiratorias,"['diabetes', 'colesterol', 'problema cardíaco', 'depresión', 'ansiedad', 'eczema']","['dificultad para respirar', 'mareos', 'sangrado', 'vómitos', 'fiebre', 'visión borrosa']"
D0108,Amigdalitis aguda,Enfermedades respiratorias,"['infección', 'azúcar en sangre', 'artritis', 'alergia', 'diabetes', 'problema digestivo']","['pérdida de peso', 'vómitos', 'dolor abdominal', 'sangrado', 'mareos', 'tos']"
D0109,Laringotraqueobronquitis,Enfermedades respiratorias,"['presión alta', 'eczema', 'diabetes', 'ataque al corazón', 'inflamación', 'problema cardíaco']","['fatiga', 'náuseas', 'fiebre', 'pérdida de peso', 'tos', 'problemas para dormir']"
D0110,Tuberculosis pulmonar,Enfermedades respiratorias,"['ansiedad', 'problema cardíaco', 'inflamación', 'colesterol', 'dolor', 'artritis']","['dolor de cabeza', 'confusión', 'pérdida de peso', 'fiebre', 'mareos', 'hinchazón']"
D0111,Gastritis erosiva,Enfermedades digestivas,"['problema digestivo', 'ansiedad', 'artritis', 'alergia', 'azúcar en sangre', 'asma']","['confusión', 'pérdida de apetito', 'dificultad para respirar', 'mareos', 'visión borrosa', 'tos']"
D0112,Úlcera gástrica,Enfermedades digestivas,"['ataque al corazón', 'azúcar en sangre', 'infección', 'inflamación', 'presión alta', 'diabetes']","['dolor abdominal', 'dolor de cabeza', 'fatiga', 'diarrea', 'hinchazón', 'fiebre']"
